"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board"
"BUxxSD1,D20,LM1,LM2,LM3,MP1,SW1,SW2,TP12,U7,U8,U9,U10,U11,U12,U13,U14,U15","18","~","","",""
"C1,C2,C3,C4,C7,C8,C9,C10,C11,C12,C13,C15,C16,C17,C18,C21,C24,C25,C26,C27,C28,C32,C33,C35,C36,C37,C43,C44,C45,C46,C47,C48,C50,C51,C52,C53,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72","51","100n","","",""
"C5,C6,C20,L2,L3","5","4u7","","",""
"C14,C56,C57","3","10u","","",""
"C19,C23,C38","3","15p","","",""
"C22,C30,C31,C41,C42,C54,C55","7","1u","","",""
"C29","1","10n","","",""
"C34,C39,C40","3","22u","","",""
"C49","1","D8L6.5_865090349007","","",""
"D1,D21,D22,D23,D24,D25","6","BLUE_LED_0402","","",""
"D2","1","BLUE_LED","","",""
"D3,D4,D5","3","LED","","",""
"D6,D9","2","Green LED","","",""
"D7,D8","2","YELLOW_LED","","",""
"D10,D11","2","Yellow LED","","",""
"D12,D13","2","Orange LED","","",""
"D14,D15","2","Amber LED","","",""
"D16,D17","2","Red LED","","",""
"D18,D19","2","Super Red LED","","",""
"F1","1","1A","","",""
"H1","1","MountingHole_Pad","","",""
"H2,H3,H4","3","MountingHole_Pad","","Exclure de la Liste du Matériel",""
"J1,J2","2","Conn_01x06","","",""
"J4","1","Conn_01x03","","",""
"J5,J6","2","Conn_01x04","","",""
"J9","1","Conn_01x02","","",""
"J10","1","Conn_ST_STDC14","","",""
"L1","1","39n","","",""
"R1,R2","2","3m","","",""
"R3,R4,R5,R6","4","5k6","","",""
"R7,R8,R21,R22,R73,R74","6","4k7","","",""
"R9","1","56k","","",""
"R10,R18","2","16k","","",""
"R11","1","39","","",""
"R12","1","2k7","","",""
"R13,R33,R34","3","1k6","","",""
"R14","1","820","","",""
"R15,R16,R52,R54,R69,R71","6","100k","","",""
"R17","1","20","","",""
"R19","1","7k68","","",""
"R20","1","40k2","","",""
"R23,R24,R37,R38","4","1k","","",""
"R25,R26,R27,R28,R39,R40","6","200","","",""
"R29","1","48k7","","",""
"R30","1","39k2","","",""
"R31,R32","2","3k3","","",""
"R35,R36","2","2k","","",""
"R43,R44","2","1k3","","",""
"R45,R46","2","2k4","","",""
"R51,R72","2","5k23","","",""
"R53,R70","2","11k","","",""
"R55,R57,R59,R64,R66,R68","6","20k","","",""
"R56,R67","2","78k7","","",""
"R58","1","46k4","","",""
"R60,R63","2","30k","","",""
"R61,R62","2","47k","","",""
"R65","1","46.4k","","",""
"SW4,SW5","2","SW_SPDT","","",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11","11","TestPoint","","",""
"U1,U2","2","ZXBM5210-SP","","",""
"U3,U4","2","NCS210","","",""
"U5","1","STM32G474RETx","","",""
"U6","1","ADXL343","","",""
"U16","1","MCP1802x-xx02xOT","","",""
"Y1","1","Crystal_GND24_Small","","",""
